resp_no,branch,profess,gender,educatio,loy1_1,loy2_1,loy3_1,loy4_1,loy5_1,loy6_1,val1_1,val2_1,val3_1,sat1_1,sat2_1,sat3_1,sav_1,loans_1,long_1,age_1,income_1,CLV
148,3,2,2,5,7,3,4,4,5,5,6,6,8,5,5,7,25,52.90401425,24,45.13924051,3,3173.455097
150,3,3,1,3,2,2,2,5,7,5,6,7,6,5,3,7,1,52.90401425,48,25,1,3378.374067
151,1,2, ,3,6,1,1,4,7,6,4,8,8,6,6,8,100,100,15,65,2,5513.914995
152,3,3,2,3,1,1,1,4,4,6,5,5,5,6,6,10,5,52.90401425,12,46,2,3493.292914
154,1,2,2,4,6,4,4,4,7,6,8,8,9,7,7,10,60,52.90401425,24,45.13924051,2,2553.057047
155,4,2,1,4,7,5,2,2,7,7,10,10,10,7,7,10,10,100,30,57,3,9667.024988
157,4,1,2,5,7,2,6,2,7,6,10,10,8,6,6,9,100,100,31.20780142,45.13924051,2,4396.652921
163,1,3,1,4,6,6,5,4,6,6,10,8,9,5,5,7,65,20,5,55,4,5246.303143
165,5,3,2,4,6,3,2,5,5,6,6,7,8,5,5,7,100,25,31.20780142,50,4,15054.36246
169,6,3,1,2,7,5,4,5,5,5,9,9,9,7,7,10,100,30,36,53,3,6144.263625
172,3,1,1,5,7,5,5,4,5,5,8,8,9,7,6,9,10,50,26,45.13924051,3,5719.495758
173,5,1,1,3,6,4,2,5,7,5,10,9,9,9,9,9,64.94316832,52.90401425,31.20780142,59,3,3767.649553
175,1,1,2,3,7,3,2,4,6,6,9,9,9,6,6,9,100,52.90401425,120,25,2,2989.233974
180,4,3,1,3,6,6,6,2,6,6,9,9,9,6,6,8,90,52.90401425,240,52,1,5361.763881
182,1,1,1,3,7,7,7,7,7,7,10,10,10,7,7,10,100,95,48,45.13924051,5,27994.78304
189,3, ,2,3,7,5,5,6,6,7,6,7,8,7,7,10,10,52.90401425,36,54,3,11539.44163
194,1,1,2,2,7,5,2,5,7,7,10,10,10,7,7,10,64.94316832,20,20,56,3,5042.588167
195,3,3,2,4,7,4,5,3,6,5,8,6,9,7,7,10,20,52.90401425,24,57,3,6149.995331
200,4,2,2,3,6,4,4,2,6,5,8,7,8,9,9,2,80,50,12,70,2,4881.781367
201,5,3,2,3,6,3,4,4,7,1,10,8,8,7,7,10,100,52.90401425,48,63.5,1,4787.282423
203,3,3,1,4,6,5,4,4,5,5,7,7,7,5,5,7,80,10,24,53,4,2484.486214
204,4,3,1,3,7,7,7,6,7,7,10,10,10,7,7,9,90,52.90401425,24,48,3,3956.455157
211,1,1,1,2,7,2,2,7,6,7,7,3,10,7,7,10,10,52.90401425,12,43,2,3900.924515
213,1,3,1,4,5,3,5,4,7,6,5,5,9,5,5,7,64.94316832,52.90401425,31.20780142,50,4,2965.820443
217,1, ,1,3,5,1,4,4,6,5,6,5,8,5,5,7,64.94316832,52.90401425,48,45.13924051,3,2795.748168
218, ,1,1,4,7,6,6,6,6,6,9,8,8,6,6,8,100,52.90401425,6,45.13924051,2,5881.573733
219,3,3,2,3,7,3,3,5,7,7,6,5,8,6,5.811797753,8.184135977,100,100,36,44,1,4036.424807
221,2, ,1,3,5,3,5,5,6,6,7,8,7,1,3,2,30,52.90401425,5,36,4,1979.830327
225,5,2,2,5,6,3,3,3,4,6,5,5,5,3,3,5,100,52.90401425,4,39,3,12532.07472
230,4, ,2,3,7,2,4,4,7,7,6,7,8,7,7,10,64.94316832,25,24,45,3,26168.0428
241,1,2,2,2,7,7,2,7,7,7,10,9,9,7,5.811797753,8.184135977,64.94316832,52.90401425,18,53,1,3695.459896
243,3,2,1,4,4,6,2,4,3,5,7,6,7,4,4,7,40,20,78,45.13924051,4,3599.355845
247,4,2,2,4,7,4,4,5,6,5,6,7,7,3,2,7,90,50,31.20780142,45.13924051,5,3892.193973
248,5,3,1,2,7,5,5,6,7,7,10,9,10,7,7,10,64.94316832,52.90401425,31.20780142,51,2,9536.205252
254,4, ,2,3,7,7,6,7,7,7,10,10,10,7,5.811797753,8.184135977,64.94316832,52.90401425,1,45.13924051,1,3113.561003
257,1,3,2,3,7,7,7,4,7,7,7,8,10,7,7,10,100,100,60,55,1,4680.82925
259,2,1,2,2,7,5,3,6,7,7,10,10,10,7,7,10,40,10,24,58,3,6070.702176
260,5,1,2,3,6,4,4,4,6,5,8,6,8,5.957839262,2,8.184135977,64.94316832,52.90401425,24,53,3,5441.888288
261,1,2,2,4,7,7,7,3,7,7,10,10,10,7,7,10,95,30,24,60,3,5282.174392
262,2,3,2,2,6,4,5,6,7,6,9,10,8,6,5,8.184135977,10,52.90401425,24,66,2,2795.748168
269,2,2,1,2,7,4,4,4,6,7,7,3,8,6,6,10,40,52.90401425,24,45.13924051,6,3425.034713
272,6,3,2,2,7,5,6,5,7,7,10,10,10,7,7,10,100,50,24,39,3,6765.433359
273,5,3,2,3,7,5,6,3,7,6,8,8,9,7,7,10,0.5,3,24,34,2,3677.407854
